title,difficulty,category
Al Pacino,1,Actor,"Serpico, Scent of a Woman, Dog Day Afternoon, The Godfather: Part II"
Alan Arkin,1,Actor,"Argo, Little Miss Sunshine, The Heart Is a Lonely Hunter"
Alan Rickman,1,Actor,"Michael Collins, Truly Madly Deeply, Sense and Sensibility"
Albert Finney,1,Actor,"The Murder on the orient Express, The Dresser, Under the Volcano"
Alec Guinness,1,Actor,"Star Wars, Little Dorrit, The Bridge on the River Kwai"
Anthony Hopkins,1,Actor,"The Silence of the Lambs, Nixon, The Remains of the Day"
Anthony Quinn,1,Actor,"Lust for Life, Viva Zapata!, Alexis Zorbas"
Ben Kingsley,1,Actor,"Gandhi, Sexy Beast, House of Sand and Fog"
Benicio Del Toro,1,Actor,"Traffic, Grams, The Pledge"
Bill Murray,1,Actor,"Rushmore, Lost in Translation, Hyde Park on Hudson"
Brad Pitt,1,Actor,"The Curious Case of Benjamin Button, Moneyball, Twelve Monkeys"
Burt Lancaster,1,Actor,"Atlantic City, Elmer Gantry, From Here to Eternity"
Cary Grant,1,Actor,"Charade, Penny Serenade, Not But the Lonely Heart"
Charles Chaplin,1,Actor,"The Great Dictator, City Lights, Modern Times"
Charles Laughton,1,Actor,"Mutiny on the Bounty, Witness for the Prosecution, The Private Life of Henry VIII"
Charlton Heston,1,Actor,"Ben-Hur, The Ten Commandments, The Pigeon That Took Rome"
Christian Bale,1,Actor,"The Fighter, The Dark Knight, American Hustle"
Christoph Waltz,1,Actor,"Carnage, Django Unchained, Inglourious Bastards"
Christopher Plummer,1,Actor,"Beginners, The Last Station, The Sound of Music"
Christopher Walken,1,Actor,"Hairspray, The Deer Hunter, King of New York, Catch Me If You Can"
Clark Gable,1,Actor,"Gone with the Wind, Mutiny on the Bounty, It Happened One Night"
Clint Eastwood,1,Actor,"Million Dollar Baby, Unforgiven, Million Dollar Baby, The Good, the Bad, and the Ugly"
Colin Firth,1,Actor,"A Single Man, The King's Speech, Tinker Tailor Soldier Spy"
Daniel Day-Lewis,1,Actor,"There Will Be Blood, Lincoln, My Left Foot"
Denzel Washington,1,Actor,"Fences, Glory, Malcolm X, Training Day"
Don Cheadle,1,Actor,"The Rat Pack, House of Lies, Hotel Rwanda"
Dustin Hoffman,1,Actor,"Tootsie, Rain Man, Midnight Cowboy, Kramer vs. Kramer"
Edward Norton,1,Actor,"Primal Fear, American History X, Everyone Says I Love You"
Gary Cooper,1,Actor,"High Noon, Sergeant York, Mr. Deeds Goes to Town"
Gary Oldman,1,Actor,"Prick Up Your Ears, Leon: The Professional, Tinker Tailor Soldier Spy"
Gene Hackman,1,Actor,"Unforgiven, Mississippi Burning, The French Connection"
Gene Kelly,1,Actor,"Hello, Dolly!, Anchors Aweigh, An American in Paris"
Geoffrey Rush,1,Actor,"Shine, Quills, The King's Speech"
George C. Scott,1,Actor,"Patton, The Hustler, The Hospital"
Gregory Peck,1,Actor,"To Kill a Mockingbird, The Boys from Brazil, Gentleman's Agreement"
Harrison Ford,1,Actor,"Witness, Star Wars, The Fugitive"
Heath Ledger,1,Actor,"Candy, The Dark Knight, Brokeback Mountain"
Henry Fonda,1,Actor,"Angry Men, On Golden Pond, The Grapes of Wrath"
Hugh Jackman,1,Actor,"Logan, The Fountain, Les Miserables, Kate & Leopold"
Humphrey Bogart,1,Actor,"Casablanca, The Caine Mutiny, The African Queen"
Ian McKellen,1,Actor,"The Lord of the Rings: The Fellowship of the Ring, Richard III, Gods and Monsters"
