title,difficulty,category
Christmas Tree,1,Christmas
Santa Claus,1,Christmas
Reindeer,1,Christmas
Snowman,1,Christmas
Elf,1,Christmas
Gingerbread House,1,Christmas
Christmas Lights,1,Christmas
Stockings,1,Christmas
Presents,1,Christmas
Christmas Carol,1,Christmas
Mistletoe,1,Christmas
Rudolph,1,Christmas
Christmas Wreath,1,Christmas
Ornaments,1,Christmas
Stocking,1,Christmas
Christmas Eve,1,Christmas
Christmas Day,1,Christmas
Christmas Dinner,1,Christmas
Christmas Vacation,1,Christmas
Christmas Shopping,1,Christmas
Christmas Party,1,Christmas
Christmas Traditions,1,Christmas
Christmas Card,1,Christmas
Nativity Scene,1,Christmas
Christmas Decorations,1,Christmas
Christmas Bells,1,Christmas
Tree Farm,1,Christmas
Christmas Candles,1,Christmas
Figgy Pudding,1,Christmas
Christmas Song,1,Christmas
Christmas Story,1,Christmas
Ugly Sweater,1,Christmas
Christmas Village,1,Christmas
Yule Log,1,Christmas
Sleigh Ride,1,Christmas
Advent Calendar,1,Christmas
Holly,1,Christmas
"It's a Wonderful Life",1,Christmas
"A Christmas Carol",1,Christmas
"Miracle on 34th Street",1,Christmas
"White Christmas",1,Christmas
"A Christmas Story",1,Christmas
"Home Alone",1,Christmas
"Elf",1,Christmas
"The Santa Clause",1,Christmas
"The Grinch",1,Christmas
"The Muppet Christmas Carol",1,Christmas
"How the Grinch Stole Christmas"(2000),1,Christmas
"The Holiday",1,Christmas
"National Lampoon's Christmas Vacation",1,Christmas
"Love Actually",1,Christmas
"The Polar Express",1,Christmas
"Rudolph the Red-Nosed Reindeer",1,Christmas
"Frosty the Snowman",1,Christmas
"A Charlie Brown Christmas",1,Christmas
"The Nightmare Before Christmas",1,Christmas
"Jingle All the Way",1,Christmas
"The Family Stone",1,Christmas
"Jingle Bells",1,Christmas
"Silent Night",1,Christmas
"White Christmas",1,Christmas
"Rudolph the Red-Nosed Reindeer",1,Christmas
"Winter Wonderland",1,Christmas
"Jingle Bell Rock",1,Christmas
"Frosty the Snowman",1,Christmas
"Santa Baby",1,Christmas
"All I Want for Christmas Is You",1,Christmas
"Last Christmas",1,Christmas
"Do They Know It's Christmas?",1,Christmas
"Rockin' Around the Christmas Tree",1,Christmas
"It's the Most Wonderful Time of the Year",1,Christmas
"Feliz Navidad",1,Christmas
"Jingle Bells",1,Christmas
"Santa Claus Is Coming to Town",1,Christmas
"The Little Drummer Boy",1,Christmas
"O Come, All Ye Faithful",1,Christmas
"Hark! The Herald Angels Sing",1,Christmas
"We Wish You a Merry Christmas",1,Christmas
"Mary's Boy Child",1,Christmas
"Let It Snow! Let It Snow! Let It Snow!",1,Christmas
"Have Yourself a Merry Little Christmas",1,Christmas
"I'll Be Home for Christmas",1,Christmas
"Wonderful Christmastime",1,Christmas
"A Holly Jolly Christmas",1,Christmas
"Deck the Halls",1,Christmas
"The First Noel",1,Christmas
