title,difficulty,category
Frankenstein (The Monster),1,Halloween
Haunted House,1,Halloween
Cauldron,1,Halloween
Vampire,1,Halloween
Ghost,1,Halloween
Witch,1,Halloween
Broomstick,1,Halloween
Black Cat,1,Halloween
Full Moon,1,Halloween
Werewolf,1,Halloween
Jack Skellington,1,Halloween
Jack-o-lantern,1,Halloween
Thriller,1,Halloween
Bat,1,Halloween
Clown,1,Halloween
Zombie,1,Halloween
Pumpkin Pie,1,Halloween
Mummy,1,Halloween
Scythe,1,Halloween
Scarecrow,1,Halloween
Corn Maze,1,Halloween
Skeleton,1,Halloween
Bones,1,Halloween
Trick-or-treat,1,Halloween
Bigfoot,1,Halloween
Wirt (from Over the Garden Wall),1,Halloween
Greg (from Over the Garden Wall),1,Halloween
Pumpkin Patch,1,Halloween
Caramel Apple,1,Halloween
Cemetery / Graveyard,1,Halloween
Spider Web / Cobweb,1,Halloween
Grim Reaper,1,Halloween
Candy Corn,1,Halloween
Fall,1,Halloween
Hashslinging slasher,1,Halloween
Mad Scientist,1,Halloween
Devil,1,Halloween
Gargoyle,1,Halloween
Spider,1,Halloween
Chainsaw,1,Halloween
Hay Rides,1,Halloween
Candy,1,Halloween
Oktoberfest,1,Halloween
Dia de los muertos,1,Halloween
Double Double toil and trouble,1,Halloween
Black Candle (from Hocus Pocus),1,Halloween
Zero (from Nightmare Before Christmas),1,Halloween
Monster Mash,1,Halloween
Ghostbusters,1,Halloween
Scooby Doo,1,Halloween
Headless Horseman,1,Halloween
Coffin,1,Halloween
Skull,1,Halloween
Boogie Man,1,Halloween
Jason,1,Halloween
Edward Scissorhands,1,Halloween
Carving pumpkins,1,Halloween
Bobbing for Apples,1,Halloween
Costume,1,Halloween
Lightning,1,Halloween
Pumpkin,1,Halloween
Raven,1,Halloween
Transylvania,3,Halloween
