title,difficulty,category
Fall of the Berlin Wall (1989),1,Historical Event
World War II (1939-1945),1,Historical Event
The Industrial Revolution (1750-1850),1,Historical Event
Declaration of Independence (1776),1,Historical Event
American Civil War (1861-1865),1,Historical Event
The French Revolution (1789-1799),1,Historical Event
Martin Luther’s 95 Theses (1517),1,Historical Event
The Great Fire of London (1666),1,Historical Event
The Magna Carta (1215),1,Historical Event
The Scientific Revolution (1550-1700),1,Historical Event
The American Revolution (1775-1783),1,Historical Event
The Battle of Hastings (1066),1,Historical Event
The First Crusade (1096-1099),1,Historical Event
The End of Apartheid (1994),1,Historical Event
The Moon Landing (1969),1,Historical Event
The Spanish Inquisition (1478-1834),1,Historical Event
The War of the Roses (1455-1485),1,Historical Event
The Renaissance (1300-1600),1,Historical Event
The Battle of Gettysburg (1863),1,Historical Event
The Battle of Waterloo (1815),1,Historical Event
The Battle of Stalingrad (1942-1943),1,Historical Event
The Creation of the United Nations (1945),1,Historical Event
The Cuban Missile Crisis (1962),1,Historical Event
The Signing of the Treaty of Versailles (1919),1,Historical Event
The Assassination of Archduke Franz Ferdinand (1914),1,Historical Event
The Assassination of John F. Kennedy (1963),1,Historical Event
The Fall of the Roman Empire (476 AD),1,Historical Event
The First World War (1914-1918),1,Historical Event
D-Day (1944),1,Historical Event
The Creation of the United States (1783),1,Historical Event
The Discovery of the New World (1492),1,Historical Event
The Creation of the Atomic Bomb (1945),1,Historical Event
The Siege of Troy (1194-1184 BC),1,Historical Event
The Battle of Thermopylae (480 BC),1,Historical Event
The Invention of the Printing Press (1440),1,Historical Event
The Great Wall of China (220-206 BC),1,Historical Event
