title,difficulty,category
Johann Sebastian Bach,1,Historical Figure
Julius Caesar,1,Historical Figure
Genghis Khan,1,Historical Figure
Christopher Columbus,1,Historical Figure
Alexander the Great,1,Historical Figure
Leonardo da Vinci,1,Historical Figure
Queen Elizabeth I,1,Historical Figure
Augustus,1,Historical Figure
Isaac Newton,1,Historical Figure
Martin Luther,1,Historical Figure
Marie Curie,1,Historical Figure
Albert Einstein,1,Historical Figure
Michelangelo,1,Historical Figure
William Shakespeare,1,Historical Figure
Queen Victoria,1,Historical Figure
Charlemagne,1,Historical Figure
Joan of Arc,1,Historical Figure
Plato,1,Historical Figure
Napoleon Bonaparte,1,Historical Figure
George Washington,1,Historical Figure
Abraham Lincoln,1,Historical Figure
Mahatma Gandhi,1,Historical Figure
Aristotle,1,Historical Figure
King David,1,Historical Figure
King Solomon,1,Historical Figure
Cleopatra,1,Historical Figure
King Tut,1,Historical Figure
Buddha,1,Historical Figure
Confucius,1,Historical Figure
Marco Polo,1,Historical Figure
King Henry VIII,1,Historical Figure
St. Augustine,1,Historical Figure
Charles Darwin,1,Historical Figure
Galileo Galilei,1,Historical Figure
Susan B. Anthony,1,Historical Figure
Harriet Tubman,1,Historical Figure
Sitting Bull,1,Historical Figure
Thomas Jefferson,1,Historical Figure
Franklin D. Roosevelt,1,Historical Figure
Cesar Chavez,1,Historical Figure
Winston Churchill,1,Historical Figure
John F. Kennedy,1,Historical Figure
Ronald Reagan,1,Historical Figure
Abraham Maslow,1,Historical Figure
Nelson Mandela,1,Historical Figure
Karl Marx,1,Historical Figure
Sigmund Freud,1,Historical Figure
Queen Elizabeth II,1,Historical Figure
William the Conqueror,1,Historical Figure
Queen Isabella,1,Historical Figure
John Locke,1,Historical Figure
George W. Bush,1,Historical Figure
Barack Obama,1,Historical Figure
William Wallace,1,Historical Figure
John Adams,1,Historical Figure
James Madison,1,Historical Figure
Thomas Edison,1,Historical Figure
Alexander Graham Bell,1,Historical Figure
Nicolaus Copernicus,1,Historical Figure
Dwight D. Eisenhower,1,Historical Figure
Caesar Augustus,1,Historical Figure
Thomas Paine,1,Historical Figure
Orville and Wilbur Wright,1,Historical Figure
Florence Nightingale,1,Historical Figure
Louis Pasteur,1,Historical Figure
Queen Catherine the Great,1,Historical Figure
Queen Nefertiti,1,Historical Figure
Ferdinand Magellan,1,Historical Figure
John Hancock,1,Historical Figure
Sacagawea,1,Historical Figure
Ben Franklin,1,Historical Figure
Ferdinand and Isabella,1,Historical Figure
Hannibal,1,Historical Figure
Imhotep,1,Historical Figure
Howard Carter,1,Historical Figure
Ernest Shackleton,1,Historical Figure
Tutankhamun,1,Historical Figure
Alexander Graham Bell,1,Historical Figure
Mao Zedong,1,Historical Figure
Elizabeth Cady Stanton,1,Historical Figure
Joseph Stalin,1,Historical Figure
Robert E. Lee,1,Historical Figure
Ulysses S. Grant,1,Historical Figure
William Tecumseh Sherman,1,Historical Figure
Dwight Eisenhower,1,Historical Figure
John Paul Jones,1,Historical Figure
Clara Barton,1,Historical Figure
Marcus Aurelius,1,Historical Figure
Leif Erikson,1,Historical Figure
Pocahontas,1,Historical Figure
Thomas Aquinas,1,Historical Figure
William Randolph Hearst,1,Historical Figure
Queen Hatshepsut,1,Historical Figure
Paul Revere,1,Historical Figure
William Wordsworth,1,Historical Figure
Louis XIV,1,Historical Figure
William Penn,1,Historical Figure
Hernan Cortes,1,Historical Figure
James Cook,1,Historical Figure
Rosa Parks,1,Historical Figure
