title,difficulty,category
"Star Wars: Episode VII - The Force Awakens (2015)",1,Movie,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
"Avengers: Endgame (2019)",1,Movie,"After the devastating events of Avengers: Infinity War, the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
"Avatar (2009)",1,Movie,"A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home."
"Black Panther (2018)",1,Movie,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past."
"Avengers: Infinity War (2018)",1,Movie,"The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe."
"Spider-Man: No Way Home (2021)",1,Movie,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
"Titanic (1997)",1,Movie,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
"Jurassic World (2015)",1,Movie,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree."
"The Avengers (2012)",1,Movie,"Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity."
"Star Wars: Episode VIII - The Last Jedi (2017)",1,Movie,"The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past."
"Incredibles 2 (2018)",1,Movie,"The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world."
"The Lion King (2019)",1,Movie,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery."
"The Dark Knight (2008)",1,Movie,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
"Rogue One: A Star Wars Story (2016)",1,Movie,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction."
"Star Wars: Episode IX - The Rise of Skywalker (2019)",1,Movie,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come."
"Beauty and the Beast (2017)",1,Movie,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
"Finding Dory (2016)",1,Movie,"Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way."
"Frozen II (2019)",1,Movie,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom."
"Star Wars: Episode I - The Phantom Menace (1999)",1,Movie,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory."
"Star Wars: Episode IV - A New Hope (1977)",1,Movie,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
"Avengers: Age of Ultron (2015)",1,Movie,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
"The Dark Knight Rises (2012)",1,Movie,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
"Shrek 2 (2004)",1,Movie,"Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be."
"E.T. the Extra-Terrestrial (1982)",1,Movie,"A troubled child summons the courage to help a friendly alien escape Earth and return to his home world."
"Toy Story 4 (2019)",1,Movie,"When a new toy called "Forky" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
"Captain Marvel (2019)",1,Movie,"Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races."
"The Hunger Games: Catching Fire (2013)",1,Movie,"Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem."
"Pirates of the Caribbean: Dead Man's Chest (2006)",1,Movie,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
"The Lion King (1994)",1,Movie,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
"Jurassic World: Fallen Kingdom (2018)",1,Movie,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event."
"Toy Story 3 (2010)",1,Movie,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
"Wonder Woman (2017)",1,Movie,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny."
"Iron Man 3 (2013)",1,Movie,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
"Captain America: Civil War (2016)",1,Movie,"Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man."
"The Hunger Games (2012)",1,Movie,"Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death."
"Spider-Man (2002)",1,Movie,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family."
"Jumanji: Welcome to the Jungle (2017)",1,Movie,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game."
"Jurassic Park (1993)",1,Movie,"A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose."
"Transformers: Revenge of the Fallen (2009)",1,Movie,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war."
"Frozen (2013)",1,Movie,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
"Spider-Man: Far from Home (2019)",1,Movie,"Following the events of Avengers: Endgame, Spider-Man must step up to take on new threats in a world that has changed forever."
"Guardians of the Galaxy Vol. 2 (2017)",1,Movie,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego."
"Harry Potter and the Deathly Hallows: Part 2 (2011)",1,Movie,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
"Finding Nemo (2003)",1,Movie,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
"Star Wars: Episode III - Revenge of the Sith (2005)",1,Movie,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy."
"The Lord of the Rings: The Return of the King (2003)",1,Movie,"Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"Spider-Man 2 (2004)",1,Movie,"Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius."
"The Passion of the Christ (2004)",1,Movie,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem."
"The Secret Life of Pets (2016)",1,Movie,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."
"Despicable Me 2 (2013)",1,Movie,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness."
"The Jungle Book (2016)",1,Movie,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo."
