title,difficulty,category
"All's fair in love and war. ",1,Saying
"Actions speak louder than words. ",1,Saying
"A bird in the hand is worth two in the bush. ",1,Saying
"A stitch in time saves nine. ",1,Saying
"A picture is worth a thousand words. ",1,Saying
"A penny saved is a penny earned. ",1,Saying
"All that glitters is not gold. ",1,Saying
"Don't bite off more than you can chew. ",1,Saying
"Don't count your chickens before they hatch. ",1,Saying
"Don't put all your eggs in one basket. ",1,Saying
"Better late than never. ",1,Saying
"Every cloud has a silver lining. ",1,Saying
"He who laughs last, laughs best. ",1,Saying
"It takes two to tango. ",1,Saying
"It's no use crying over spilt milk. ",1,Saying
"Kill two birds with one stone. ",1,Saying
"Laugh and the world laughs with you. ",1,Saying
"Look before you leap. ",1,Saying
"Make hay while the sun shines. ",1,Saying
"Necessity is the mother of invention. ",1,Saying
"Never judge a book by its cover. ",1,Saying
"Nothing ventured, nothing gained. ",1,Saying
"Once bitten, twice shy. ",1,Saying
"Out of sight, out of mind. ",1,Saying
"Practice makes perfect. ",1,Saying
"The early bird catches the worm. ",1,Saying
"The grass is always greener on the other side. ",1,Saying
"The pen is mightier than the sword. ",1,Saying
"The squeaky wheel gets the grease. ",1,Saying
"Time is money. ",1,Saying
"Two heads are better than one. ",1,Saying
"Variety is the spice of life. ",1,Saying
"You can't have your cake and eat it too. ",1,Saying
"You can't make an omelet without breaking a few eggs. ",1,Saying
"Don't put the cart before the horse. ",1,Saying
"Every dog has his day. ",1,Saying
"Honesty is the best policy. ",1,Saying
"Nothing is certain but death and taxes.",1,Saying
"Pride comes before a fall.",1,Saying
"Better safe than sorry.",1,Saying
"A rolling stone gathers no moss.",1,Saying
"Don't put all your eggs in one basket.",1,Saying
"Don't judge a book by its cover.",1,Saying
"Don't count your chickens before they hatch.",1,Saying
"The early bird catches the worm.",1,Saying
"It takes two to tango.",1,Saying
"Where there's smoke, there's fire.",1,Saying
"Don't cry over spilt milk.",1,Saying
"Don't look a gift horse in the mouth.",1,Saying
"An ounce of prevention is worth a pound of cure.",1,Saying
"Actions speak louder than words.",1,Saying
"A fool and his money are soon parted.",1,Saying
"A stitch in time saves nine.",1,Saying
"Don't bite off more than you can chew.",1,Saying
"Every cloud has a silver lining.",1,Saying
"Haste makes waste.",1,Saying
"You can't teach an old dog new tricks.",1,Saying
"Don't make a mountain out of a molehill.",1,Saying
"Don't cross the bridge until you come to it.",1,Saying
"Look before you leap.",1,Saying
"Make hay while the sun shines.",1,Saying
"There's no time like the present.",1,Saying
"Two wrongs don't make a right.",1,Saying
"Don't put the cart before the horse.",1,Saying
"The apple doesn't fall far from the tree.",1,Saying
"Better late than never.",1,Saying
"Don't judge a man by his appearance.",1,Saying
"Fortune favors the bold.",1,Saying
"If it ain't broke, don't fix it.",1,Saying
"It's never too late to learn.",1,Saying
"Let sleeping dogs lie.",1,Saying
"Revenge is a dish best served cold.",1,Saying
"All that glitters is not gold.",1,Saying
"Blood is thicker than water.",1,Saying
"Don't rock the boat.",1,Saying
"You can't have your cake and eat it too.",1,Saying
"Better to be safe than sorry.",1,Saying
"Don't bite the hand that feeds you.",1,Saying
"Good things come to those who wait.",1,Saying
"What goes around comes around.",1,Saying
"You can't take it with you.",1,Saying
"Don't burn your bridges behind you.",1,Saying
"Don't look a gift horse in the mouth.",1,Saying
"Easy come, easy go.",1,Saying
"Even a blind squirrel finds an acorn sometimes.",1,Saying
"Every man for himself.",1,Saying
"Where there's a will, there's a way.",1,Saying
"Absence makes the heart grow fonder.",1,Saying
"It takes two to tango.",1,Saying
"Nothing ventured, nothing gained.",1,Saying
"Strike while the iron is hot.",1,Saying
"The end justifies the means.",1,Saying
"The more the merrier.",1,Saying
"Too many cooks spoil the broth.",1,Saying
"Waste not, want not.",1,Saying
"You can't have your cake and eat it too.",1,Saying
"You can't teach an old dog new tricks.",1,Saying
"You reap what you sow.",1,Saying
"The bigger the risk, the bigger the reward.",1,Saying
"A problem shared is a problem halved.",1,Saying
