title,difficulty,category
"Africa - Toto",1,Song
"All I Want For Christmas Is You - Mariah Carey",1,Song
"All Star - Smash Mouth",1,Song
"All of Me - John Legend",1,Song
"Baby - Justin Bieber ft. Ludacris",1,Song
"Baby One More Time - Britney Spears",1,Song
"Bad - Michael Jackson",1,Song
"Bad Moon Rising - Creedence Clearwater Revival",1,Song
"Bad Romance - Lady Gaga",1,Song
"Beat It - Michael Jackson",1,Song
"Best Day Of My Life - American Authors",1,Song
"Billie Jean - Michael Jackson",1,Song
"Blowin' In The Wind - Bob Dylan",1,Song
"Bohemian Rhapsody - Queen",1,Song
"Born This Way - Lady Gaga",1,Song
"Brown Eyed Girl - Van Morrison",1,Song
"Call Me Maybe - Carly Rae Jepsen",1,Song
"Can't Feel My Face - The Weeknd",1,Song
"Can't Stop the Feeling - Justin Timberlake",1,Song
"Chandelier - Sia",1,Song
"Closer - The Chainsmokers ft. Halsey",1,Song
"Come As You Are - Nirvana",1,Song
"Come Together - The Beatles",1,Song
"Counting Stars - OneRepublic",1,Song
"Crazy - Gnarls Barkley",1,Song
"Crazy in Love - Beyonce ft. Jay-Z",1,Song
"Despacito - Luis Fonsi ft. Daddy Yankee",1,Song
"Don't Look Back in Anger - Oasis",1,Song
"Don't Speak - No Doubt",1,Song
"Don't Stop - Fleetwood Mac",1,Song
"Don't Stop Believin' - Journey",1,Song
"Don't Stop Me Now - Queen",1,Song
"Don't Worry, Be Happy - Bobby McFerrin",1,Song
"Don't You (Forget About Me) - Simple Minds",1,Song
"Don't You Worry Child - Swedish House Mafia",1,Song
"Every Breath You Take - The Police",1,Song
"Everybody Hurts - R.E.M",1,Song
"Eye of the Tiger - Survivor",1,Song
"Fade into You - Mazzy Star",1,Song
"Fancy - Iggy Azalea",1,Song
"Fight Song - Rachel Platten",1,Song
"Fireflies - Owl City",1,Song
"Firework - Katy Perry",1,Song
"Gangnam Style - Psy",1,Song
"Girls Just Want to Have Fun - Cyndi Lauper",1,Song
"Happy - Pharrell Williams",1,Song
"Hello - Adele",1,Song
"Hey Jude - The Beatles",1,Song
"Hey Ya! - Outkast",1,Song
"Hotel California - Eagles",1,Song
"I Can't Help Falling in Love - Elvis Presley",1,Song
