title,difficulty,category
A Walk to Remember (2002),1,Valentine
Balloons,1,Valentine
Bouquet of roses,1,Valentine
Candlelit dinner,1,Valentine
Chocolate,1,Valentine
Chocolate covered strawberries,1,Valentine
Couple dancing,1,Valentine
Cupid,1,Valentine
Date night,1,Valentine
Diamond ring,1,Valentine
Dinner for two,1,Valentine
Engagement ring,1,Valentine
Flower bouquet,1,Valentine
Gift box,1,Valentine
Heart,1,Valentine
Heart-shaped box of chocolates,1,Valentine
Heartbreak,1,Valentine
Kiss,1,Valentine
Honeymoon,1,Valentine
Locket,1,Valentine
Long-distance love,1,Valentine
Love,1,Valentine
Love at first sight,1,Valentine
Love bug,1,Valentine
Love handles,1,Valentine
Love is blind,1,Valentine
Love is in the air,1,Valentine
Love letter,1,Valentine
Love nest,1,Valentine
Poem,1,Valentine
Love potion,1,Valentine
Love song,1,Valentine
Love story,1,Valentine
Love struck,1,Valentine
Love triangle,1,Valentine
Lovebirds,1,Valentine
Perfume,1,Valentine
Propose,1,Valentine
Red roses,1,Valentine
Red velvet cake,1,Valentine
Romantic getaway,1,Valentine
Rose,1,Valentine
Smitten,1,Valentine
Spa day,1,Valentine
Star-crossed lovers,1,Valentine
Sweetheart,1,Valentine
Teddy bear,1,Valentine
The Best of Me (2014),1,Valentine
The Fault in Our Stars (2014),1,Valentine
The Lucky One (2012),1,Valentine
The Notebook (2004),1,Valentine
The Proposal (2009),1,Valentine
The Time Traveler's Wife (2009),1,Valentine
The Twilight Saga (2008-2012),1,Valentine
The Vow (2012),1,Valentine
Titanic (1997),1,Valentine
Unrequited love,1,Valentine
Valentine's Day party,1,Valentine
Valentine's card,1,Valentine
Wine and dine,1,Valentine
